Dataset Name,Size After pre-processing,Size After selecting top genes,Cluster Algo,top_genes,Base ARI,ARI_scVI,ARI_gimVI,ARI_tangram,Base NMI,NMI_scVI,NMI_gimVI,NMI_tangram,Base AMI,AMI_scVI,AMI_gimVI,AMI_tangram,Base HOMO,HOMO_scVI,HOMO_gimVI,HOMO_tangram,Raw zero Exp val (%),scVI zero Exp val (%),gimVI zero Exp val (%),tangram zero Exp val (%),scVI Runtime (s),gimVI Runtime (s),tangram Runtime (s),scVI Memory (MB),gimVI Memory (MB),tangram Memory (MB)
151507_visium_processed.h5ad,2890x15274,2890x2000,Leiden,2000,0.2014872637524056,0.1226081664297373,0.1766964036693177,0.1870932919462096,0.2897238577963504,0.1836141139161426,0.2929208164705936,0.2803973660696087,0.2866242176244687,0.1793881091748937,0.2890813653482945,0.2779622249122849,0.3042647413885402,0.2040154992653847,0.3398570090112042,0.2832479154354669,93.9939446366782,0.0,0.0,0.0,142.9342544078827,235.7528898715973,4.984820604324341,98.64600467681883,304.7075500488281,479.89512062072754
151507_visium_processed.h5ad,2890x15274,2890x5000,Leiden,5000,0.209594588526307,0.1335288374701067,0.1748717432412752,0.159790622931286,0.2904686159058244,0.2211271770270516,0.3222782701008375,0.2691277676797621,0.2877013694545556,0.2174794953841771,0.318328572004633,0.266361544553107,0.2981380914664159,0.2437319989684959,0.3807154466665268,0.2837383993250429,92.41686505190312,0.0,0.0,0.0,144.4420144557953,208.00368762016296,9.533752918243408,167.0079698562622,605.1302061080933,816.3477430343628
151507_visium_processed.h5ad,2890x15274,2890x15274,Leiden,all,0.2669614161511932,0.1854421570526755,0.2210253187838162,0.2436292275148813,0.436482657054981,0.3240076169941991,0.4052427974016589,0.3977455692634782,0.434324592733393,0.3205479958625736,0.4015629327210156,0.3954711912866128,0.455305226233721,0.3626966163482868,0.4885652361917252,0.4202136507963753,89.6952439249275,0.0,0.0,0.0,167.6130173206329,270.5391869544983,26.110271692276,397.8799800872803,1627.4929695129397,1957.4151802062988
151508_visium_processed.h5ad,2549x14507,2549x2000,Leiden,2000,0.1123924482797204,0.0704911341517501,0.1447649568339863,0.1220285696893358,0.1903692665266792,0.149641159276524,0.2721748685343422,0.2088412377549684,0.1862125248335872,0.1449856523085766,0.2676707034639529,0.205727794850116,0.1964809685765386,0.1626205395764623,0.3191195677933206,0.2092456550217202,94.86653589642997,0.0,0.0,0.0,218.7549450397492,358.6159965991974,7.269484281539917,93.59297752380373,280.8554573059082,453.0764055252075
151508_visium_processed.h5ad,2549x14507,2549x5000,Leiden,5000,0.1659385070090228,0.1319677139579911,0.1866138767639293,0.1398640667978503,0.2578169083550454,0.2361444942251011,0.3064803674955345,0.2328676718840249,0.2544812869078615,0.2324207474834733,0.3024176433552311,0.2302641836104736,0.2656787478310771,0.2548755766562664,0.3453599588260185,0.2248753160815905,93.44452726559436,0.0,0.0,0.0,223.21187925338745,399.8533868789673,13.508453607559204,154.6777982711792,546.1660108566284,648.9649791717529
151508_visium_processed.h5ad,2549x14507,2549x14507,Leiden,all,0.2564688372253659,0.1736719031876309,0.194246403969378,0.2024480151593286,0.4078720828641008,0.3122961400360036,0.3635883295043968,0.3606838925529529,0.4052789783097369,0.3083157949824216,0.3599394062651405,0.3579249512860616,0.4286702221385765,0.3560551853316578,0.4177544886524476,0.3838500785262393,90.88244435398308,0.0,0.0,0.0,245.1416442394257,442.1653137207031,33.474698066711426,345.01101875305176,1380.699194908142,1578.7458457946775
151509_visium_processed.h5ad,4184x15892,4184x2000,Leiden,2000,0.1103223333002711,0.0713236947723471,0.0930049163205521,0.1088724595414375,0.2412375132122717,0.1909875306680631,0.2703059436962181,0.2570040284136223,0.2387931778446498,0.1875172293716248,0.2662607346947913,0.2544278278777753,0.2672534975649731,0.2391632135806467,0.3717861680586095,0.2983943992911874,94.6357552581262,0.0,0.0,0.0,362.46620869636536,587.9010672569275,14.07892084121704,119.44913482666016,395.33567905426025,510.8764886856079
151509_visium_processed.h5ad,4184x15892,4184x5000,Leiden,5000,0.1440371990717532,0.1476890304518914,0.1462993113578577,0.1111336591185306,0.2846882171645901,0.2784979282522201,0.33825585449958,0.2482814385252711,0.2826283964521764,0.2757695622256625,0.335659184799187,0.2463800612969905,0.3087518787819568,0.3307098497795927,0.4227089027898317,0.2618645289959807,93.41465583173996,0.0,0.0,0.0,360.0436613559723,608.4229714870453,26.886901140213013,217.5727653503418,829.0253381729126,1043.1316862106323
151509_visium_processed.h5ad,4184x15892,4184x15892,Leiden,all,0.2153856065727252,0.1702492702087829,0.1658742815235842,0.2041866593986353,0.4002932031696528,0.3610700921595504,0.3961010231174553,0.3743807529873414,0.398604419325803,0.358086475985331,0.3935567708682979,0.372636855775858,0.4424711552774106,0.4524777868667969,0.503642464813367,0.4179451563105149,90.4782142030407,0.0,0.0,0.0,415.49804162979126,748.813129901886,82.82679057121277,1212.2820892333984,2396.8433475494385,3066.720009803772
151510_visium_processed.h5ad,3722x15511,3722x2000,Leiden,2000,0.124783388516865,0.0933915744647279,0.1096788461521785,0.1608424398119435,0.2427403824675366,0.1927260983028735,0.2797851147759136,0.2668959292392485,0.2400467529841609,0.1886593069544005,0.2757316360818415,0.2645716148369362,0.2679650964260948,0.229606818325628,0.3678974465709529,0.2891107475867286,94.72706878022568,0.0,0.0,0.0,327.32976388931274,527.600702047348,12.073186874389648,111.4651689529419,362.976282119751,471.634181022644
